Ranking,Name, ,Under Pressure Rating,% Break Points Converted,% Break Point Saved,% Tie Breaks Won,% Deciding Sets Won,Year
50,Gilbert Schaller,,205.5,43.9%,56.6%,53.1%,51.9%,1995
51,Stefano Pescosolido,,204.8,39.2%,57.2%,66.7%,41.7%,1995
52,Greg Rusedski,,203.7,38.9%,66.3%,56.4%,42.1%,1995
53,Karol Kucera,,202.2,36.2%,57.9%,64.3%,43.8%,1995
54,Javier Frana,,200.1,44.0%,67.0%,47.4%,41.7%,1995
55,Jordi Arrese,,198.8,41.5%,55.2%,58.3%,43.8%,1995
56,Patrick McEnroe,,198.3,42.1%,67.1%,51.6%,37.5%,1995
57,Shuzo Matsuoka,,196.5,34.9%,66.8%,59.1%,35.7%,1995
58,Hendrik Dreekmann,,194.9,37.1%,61.0%,58.3%,38.5%,1995
59,Petr Korda,,194.2,39.5%,63.5%,50.0%,41.2%,1995
60,MaliVai Washington,,193.8,42.6%,62.3%,55.6%,33.3%,1995
61,Marcos Ondruska,,193.3,45.6%,63.6%,30.8%,53.3%,1995
62,Martin Damm,,193.1,33.8%,56.4%,50.0%,52.9%,1995
63,Olivier Delaitre,,193.1,39.9%,54.3%,62.5%,36.4%,1995
64,Richey Reneberg,,192.7,36.7%,60.4%,55.6%,40.0%,1995
65,Martin Sinner,,192.5,37.3%,50.7%,50.0%,54.5%,1995
66,David Wheaton,,191.4,39.2%,63.7%,50.0%,38.5%,1995
67,Andrei Medvedev,,190.8,42.8%,58.1%,44.4%,45.5%,1995
68,Francisco Clavet,,190.5,43.0%,56.2%,56.3%,35.0%,1995
69,Javier Sanchez,,190.4,41.9%,57.5%,39.1%,51.9%,1995
70,Cedric Pioline,,189.8,37.7%,56.3%,62.5%,33.3%,1995
71,Alexander Volkov,,189.5,40.4%,58.8%,27.8%,62.5%,1995
72,Jonas Bjorkman,,189.4,38.5%,58.5%,40.0%,52.4%,1995
73,Jonathan Stark,,189.4,31.0%,60.2%,44.4%,53.8%,1995
74,Daniel Vacek,,189.2,36.2%,62.7%,42.9%,47.4%,1995
75,Marcelo Filippini,,188.3,42.5%,54.9%,63.6%,27.3%,1995
76,Karel Novacek,,187.9,37.2%,63.6%,53.8%,33.3%,1995
77,Mark Woodforde,,186.8,35.4%,59.4%,54.5%,37.5%,1995
78,Anders Jarryd,,186.7,37.1%,57.9%,41.7%,50.0%,1995
79,David Prinosil,,186.5,39.6%,64.1%,47.1%,35.7%,1995
80,Guy Forget,,186.4,36.5%,66.5%,41.7%,41.7%,1995
81,Marc-Kevin Goellner,,186.0,38.5%,61.1%,36.4%,50.0%,1995
82,Jeff Tarango,,185.9,40.6%,61.5%,43.8%,40.0%,1995
83,Jaime Yzaga,,185.1,41.4%,59.1%,37.5%,47.1%,1995
84,Bernd Karbacher,,184.1,40.1%,53.6%,33.3%,57.1%,1995
85,Alex Corretja,,182.2,44.0%,57.4%,45.5%,35.3%,1995
86,Emilio Sanchez,,180.7,39.7%,59.4%,31.6%,50.0%,1995
87,Adrian Voinea,,180.4,39.5%,60.3%,53.3%,27.3%,1995
88,Lionel Roux,,180.0,42.6%,61.9%,45.5%,30.0%,1995
89,Bryan Shelton,,178.2,32.3%,59.8%,44.4%,41.7%,1995
90,Jordi Burillo,,177.3,42.9%,52.6%,38.9%,42.9%,1995
91,Richard Fromberg,,175.1,41.2%,63.1%,37.5%,33.3%,1995
92,Vincent Spadea,,174.9,41.9%,60.2%,45.5%,27.3%,1995
93,Andrei Chesnokov,,174.7,40.2%,58.1%,40.0%,36.4%,1995
94,Jason Stoltenberg,,171.3,39.4%,53.8%,41.7%,36.4%,1995
95,Fabrice Santoro,,156.3,38.0%,55.7%,27.3%,35.3%,1995
96,Nicolas Pereira,,152.3,34.0%,63.3%,25.0%,30.0%,1995
97,Andrei Olhovskiy,,143.5,32.0%,56.5%,30.0%,25.0%,1995
98,Gianluca Pozzi,,134.3,33.2%,56.1%,25.0%,20.0%,1995
1,Thomas Muster,,253.5,43.7%,66.9%,67.9%,75.0%,1996
2,Michael Chang,,251.4,46.0%,63.3%,57.9%,84.2%,1996
3,Goran Ivanisevic,,248.4,41.6%,69.4%,64.7%,72.7%,1996
4,Pete Sampras,,248.2,36.2%,71.2%,57.5%,83.3%,1996
5,Petr Korda,,244.7,42.5%,60.1%,64.3%,77.8%,1996
6,Andre Agassi,,242.4,41.8%,57.3%,70.0%,73.3%,1996
7,Yevgeny Kafelnikov,,239.5,43.0%,63.9%,61.5%,71.1%,1996
8,Marcelo Rios,,236.2,42.3%,54.7%,69.2%,70.0%,1996
9,Boris Becker,,233.3,40.5%,65.8%,52.0%,75.0%,1996
10,Wayne Ferreira,,229.0,41.4%,62.6%,50.0%,75.0%,1996
11,Cedric Pioline,,229.0,44.0%,65.0%,66.7%,53.3%,1996
12,Jiri Novak,,227.7,49.1%,61.1%,55.6%,61.9%,1996
13,Karim Alami,,227.4,42.9%,55.0%,54.5%,75.0%,1996
14,Byron Black,,227.2,43.4%,58.7%,54.5%,70.6%,1996
15,Mikael Tillstrom,,225.5,39.3%,59.7%,56.5%,70.0%,1996
16,Felix Mantilla,,225.3,47.2%,56.5%,53.6%,68.0%,1996
17,Richard Krajicek,,224.0,38.9%,60.2%,56.1%,68.8%,1996
18,Todd Woodbridge,,223.3,42.0%,59.4%,58.3%,63.6%,1996
19,Tomas Carbonell,,222.7,41.9%,59.1%,52.9%,68.8%,1996
20,Sergi Bruguera,,222.6,38.3%,55.8%,71.4%,57.1%,1996
21,Todd Martin,,221.9,42.4%,68.2%,57.1%,54.2%,1996
22,MaliVai Washington,,221.1,40.2%,61.8%,52.4%,66.7%,1996
23,Paul Haarhuis,,220.4,44.4%,55.4%,50.0%,70.6%,1996
24,Jan Siemerink,,219.7,35.6%,66.5%,65.2%,52.4%,1996
25,Richey Reneberg,,219.3,44.5%,59.2%,52.0%,63.6%,1996
26,Javier Sanchez,,217.8,40.0%,56.8%,65.4%,55.6%,1996
27,Alexander Volkov,,216.5,42.8%,58.2%,45.5%,70.0%,1996
28,Hendrik Dreekmann,,216.3,35.4%,62.1%,82.4%,36.4%,1996
29,Carlos Moya,,215.3,44.9%,58.9%,53.6%,57.9%,1996
30,Mark Philippoussis,,215.1,33.2%,63.3%,58.6%,60.0%,1996
31,Jason Stoltenberg,,214.5,44.8%,59.7%,60.0%,50.0%,1996
32,Jan Kroslak,,214.2,39.3%,62.2%,55.6%,57.1%,1996
33,Alberto Berasategui,,212.6,43.1%,58.5%,47.8%,63.2%,1996
34,Renzo Furlan,,212.1,40.6%,60.4%,50.0%,61.1%,1996
35,Magnus Larsson,,211.9,41.5%,59.0%,58.8%,52.6%,1996
36,Magnus Gustafsson,,210.9,43.6%,61.3%,52.2%,53.8%,1996
37,Marc Rosset,,210.7,42.4%,62.8%,51.7%,53.8%,1996
38,Mark Woodforde,,210.5,41.8%,67.6%,44.0%,57.1%,1996
39,Tim Henman,,209.3,37.2%,63.3%,66.7%,42.1%,1996
40,Nicolas Lapentti,,209.0,37.6%,58.0%,66.7%,46.7%,1996
41,Francisco Clavet,,208.7,44.5%,60.3%,70.6%,33.3%,1996
42,Karol Kucera,,206.6,43.4%,57.6%,27.8%,77.8%,1996
43,Alex Corretja,,205.4,45.0%,57.4%,31.6%,71.4%,1996
44,Adrian Voinea,,205.2,41.2%,59.8%,57.1%,47.1%,1996
45,Javier Frana,,205.2,37.5%,64.0%,45.8%,57.9%,1996
46,Thomas Enqvist,,204.9,42.9%,59.2%,60.7%,42.1%,1996
47,Thomas Johansson,,204.5,43.7%,59.1%,42.9%,58.8%,1996
48,Sandon Stolle,,203.9,39.2%,58.0%,40.0%,66.7%,1996
49,Guillaume Raoux,,203.9,42.3%,59.4%,56.0%,46.2%,1996
50,Greg Rusedski,,203.6,38.9%,59.0%,58.1%,47.6%,1996
51,Nicklas Kulti,,203.4,38.8%,61.4%,63.2%,40.0%,1996
52,Andrei Olhovskiy,,203.1,38.8%,65.2%,39.1%,60.0%,1996
53,Daniel Vacek,,202.9,38.4%,56.2%,58.3%,50.0%,1996
54,Bohdan Ulihrach,,202.7,40.7%,56.3%,52.4%,53.3%,1996
55,Albert Costa,,202.5,43.7%,60.2%,37.9%,60.7%,1996
56,Hernan Gumy,,202.5,47.9%,56.7%,57.9%,40.0%,1996
57,Andrei Medvedev,,201.8,43.0%,61.1%,55.6%,42.1%,1996
58,Martin Damm,,201.3,36.1%,61.6%,40.0%,63.6%,1996
59,Carlos Costa,,201.0,43.6%,53.0%,44.4%,60.0%,1996
60,Arnaud Boetsch,,198.5,42.9%,61.4%,54.2%,40.0%,1996
61,Marc-Kevin Goellner,,197.7,40.9%,62.7%,52.0%,42.1%,1996
62,Marcos Ondruska,,197.4,39.5%,54.1%,53.8%,50.0%,1996
63,Stefan Edberg,,196.2,41.0%,61.9%,43.3%,50.0%,1996
64,Michael Stich,,195.0,39.7%,63.6%,66.7%,25.0%,1996
65,Jim Courier,,193.4,42.9%,60.5%,50.0%,40.0%,1996
66,Michael Joyce,,192.3,43.0%,58.0%,52.4%,38.9%,1996
67,Jonas Bjorkman,,191.9,39.5%,57.7%,53.8%,40.9%,1996
68,Kenneth Carlsen,,191.4,34.0%,66.3%,52.6%,38.5%,1996
69,Lionel Roux,,189.9,42.9%,58.7%,41.2%,47.1%,1996
70,Scott Draper,,189.3,36.3%,61.3%,50.0%,41.7%,1996
71,Guy Forget,,189.2,39.0%,62.3%,46.7%,41.2%,1996
72,Andrea Gaudenzi,,188.7,39.4%,55.5%,50.0%,43.8%,1996
73,Sjeng Schalken,,188.1,39.6%,62.9%,30.0%,55.6%,1996
74,Jeff Tarango,,187.3,38.5%,58.6%,53.8%,36.4%,1996
75,Gilbert Schaller,,186.3,40.8%,51.7%,37.5%,56.3%,1996
76,Slava Dosedel,,185.6,43.6%,57.6%,40.0%,44.4%,1996
77,Vincent Spadea,,185.6,46.7%,62.3%,48.0%,28.6%,1996
78,Jonathan Stark,,184.3,42.1%,61.0%,41.2%,40.0%,1996
79,David Prinosil,,183.1,40.2%,59.1%,40.0%,43.8%,1996
80,Jakob Hlasek,,180.3,38.9%,60.6%,50.0%,30.8%,1996
81,Jordi Burillo,,180.2,45.7%,55.9%,28.6%,50.0%,1996
82,Younes El Aynaoui,,180.1,34.8%,62.0%,33.3%,50.0%,1996
83,Richard Fromberg,,178.2,39.1%,56.5%,36.4%,46.2%,1996
84,Stefano Pescosolido,,177.6,40.2%,56.8%,25.0%,55.6%,1996
85,Christian Ruud,,175.7,46.5%,53.0%,42.9%,33.3%,1996
86,Johan Van Herck,,174.7,40.2%,49.0%,45.5%,40.0%,1996
87,Nicolas Pereira,,172.3,32.8%,59.5%,50.0%,30.0%,1996
88,Shuzo Matsuoka,,171.0,43.8%,58.9%,35.0%,33.3%,1996
89,Chris Woodruff,,170.3,39.1%,63.3%,26.7%,41.2%,1996
90,Andrei Chesnokov,,166.7,44.3%,55.2%,36.4%,30.8%,1996
91,David Rikl,,166.3,39.5%,57.4%,44.4%,25.0%,1996
92,Patrick Rafter,,163.8,40.9%,63.3%,26.3%,33.3%,1996
93,Bernd Karbacher,,152.3,39.0%,61.8%,18.2%,33.3%,1996
94,Filip Dewulf,,149.2,46.9%,58.7%,8.3%,35.3%,1996
1,Mariano Puerta,,246.4,45.2%,62.6%,63.6%,75.0%,1998
2,Greg Rusedski,,245.9,38.0%,68.5%,66.7%,72.7%,1998
3,Richard Krajicek,,243.7,41.4%,66.7%,67.6%,68.0%,1998
4,Albert Costa,,241.5,42.7%,61.5%,70.6%,66.7%,1998
5,Alex Corretja,,239.4,40.2%,63.0%,57.6%,78.6%,1998
6,Patrick Rafter,,237.7,40.2%,66.5%,54.8%,76.2%,1998
7,Scott Draper,,237.4,41.2%,60.7%,66.7%,68.8%,1998
8,Yevgeny Kafelnikov,,233.2,41.1%,61.4%,59.3%,71.4%,1998
9,Todd Martin,,230.4,41.4%,62.5%,63.3%,63.2%,1998
10,Carlos Moya,,229.7,40.1%,59.8%,67.9%,61.9%,1998
11,Nicolas Escude,,228.6,41.4%,60.5%,66.7%,60.0%,1998
12,Petr Korda,,228.1,44.8%,56.6%,60.0%,66.7%,1998
13,Pete Sampras,,227.9,41.3%,63.7%,70.0%,52.9%,1998
14,Filip Dewulf,,227.7,45.4%,60.3%,76.5%,45.5%,1998
15,Andre Agassi,,225.8,40.8%,66.7%,60.0%,58.3%,1998
16,Steve Campbell,,224.9,42.7%,52.2%,80.0%,50.0%,1998
17,Jan-Michael Gambill,,224.6,39.6%,60.7%,47.8%,76.5%,1998
18,Juan Antonio Marin,,223.3,45.6%,58.9%,50.0%,68.8%,1998
19,Jan Siemerink,,222.2,36.8%,70.5%,46.7%,68.2%,1998
20,Todd Woodbridge,,221.0,45.7%,56.3%,33.3%,85.7%,1998
21,Gustavo Kuerten,,220.3,42.4%,64.1%,53.8%,60.0%,1998
22,Karol Kucera,,218.2,46.8%,60.5%,53.8%,57.1%,1998
23,Paul Haarhuis,,218.1,47.7%,62.7%,46.2%,61.5%,1998
24,Tim Henman,,218.0,39.7%,58.2%,61.5%,58.6%,1998
25,Alberto Berasategui,,217.9,44.8%,56.6%,52.2%,64.3%,1998
26,Tommy Haas,,216.1,38.4%,58.1%,57.1%,62.5%,1998
27,Karim Alami,,215.9,38.7%,57.3%,55.6%,64.3%,1998
28,Thomas Enqvist,,215.2,45.4%,62.0%,36.4%,71.4%,1998
29,Fabrice Santoro,,214.6,39.6%,60.7%,64.3%,50.0%,1998
30,Andrei Pavel,,213.5,40.3%,58.2%,75.0%,40.0%,1998
31,Guillaume Raoux,,212.9,37.1%,62.7%,71.9%,41.2%,1998
32,Marcelo Rios,,212.4,44.3%,63.9%,62.5%,41.7%,1998
33,Magnus Norman,,211.7,37.0%,60.2%,52.0%,62.5%,1998
34,Thomas Muster,,211.5,43.6%,62.0%,27.3%,78.6%,1998
35,Jonas Bjorkman,,210.8,46.7%,58.5%,55.6%,50.0%,1998
36,Wayne Ferreira,,210.6,40.0%,58.0%,47.6%,65.0%,1998
37,Vincent Spadea,,210.4,40.0%,57.5%,57.9%,55.0%,1998
38,Magnus Gustafsson,,210.0,44.1%,59.8%,42.9%,63.2%,1998
39,Cedric Pioline,,209.0,42.5%,58.7%,53.3%,54.5%,1998
40,Andrea Gaudenzi,,208.2,40.2%,56.0%,43.8%,68.2%,1998
41,Goran Ivanisevic,,207.6,37.1%,68.4%,56.6%,45.5%,1998
42,Hendrik Dreekmann,,207.0,37.3%,64.1%,55.6%,50.0%,1998
43,John van Lottum,,205.6,45.3%,60.3%,30.0%,70.0%,1998
44,Felix Mantilla,,205.5,42.7%,64.5%,48.3%,50.0%,1998
45,Jim Courier,,205.4,37.1%,62.7%,55.6%,50.0%,1998
46,Marc Rosset,,205.4,36.1%,55.1%,54.2%,60.0%,1998
47,Nicolas Kiefer,,204.4,43.5%,58.8%,57.1%,45.0%,1998
48,Byron Black,,202.4,43.5%,63.3%,40.0%,55.6%,1998
49,Arnaud Clement,,202.0,44.1%,55.6%,75.0%,27.3%,1998
50,Sebastien Lareau,,201.9,38.2%,63.2%,55.0%,45.5%,1998
51,Daniel Vacek,,201.9,38.8%,63.7%,56.5%,42.9%,1998
52,Mikael Tillstrom,,201.4,41.8%,59.6%,50.0%,50.0%,1998
53,Bohdan Ulihrach,,200.6,42.5%,60.4%,55.6%,42.1%,1998
54,Jerome Golmard,,200.5,40.7%,66.0%,50.0%,43.8%,1998
55,Thomas Johansson,,200.3,39.9%,59.2%,51.2%,50.0%,1998
56,Gianluca Pozzi,,200.0,42.2%,60.7%,47.1%,50.0%,1998
57,Brett Steven,,199.7,41.9%,63.7%,38.5%,55.6%,1998
58,Michael Chang,,197.7,43.0%,62.6%,47.1%,45.0%,1998
59,Ramon Delgado,,197.0,37.3%,58.8%,40.9%,60.0%,1998
60,David Prinosil,,194.9,39.5%,54.1%,48.0%,53.3%,1998
61,Sjeng Schalken,,194.4,39.6%,64.5%,52.2%,38.1%,1998
62,Slava Dosedel,,194.3,41.4%,59.8%,47.6%,45.5%,1998
63,Sergi Bruguera,,194.0,43.8%,54.4%,62.5%,33.3%,1998
64,Kenneth Carlsen,,193.7,39.6%,67.0%,42.1%,45.0%,1998
65,Fernando Vicente,,192.8,43.0%,56.9%,28.6%,64.3%,1998
66,Fernando Meligeni,,192.3,43.3%,61.5%,50.0%,37.5%,1998
67,Dominik Hrbaty,,192.1,42.6%,60.6%,50.0%,38.9%,1998
68,Jason Stoltenberg,,191.4,40.9%,63.5%,34.8%,52.2%,1998
69,Franco Squillari,,191.3,42.0%,57.9%,22.2%,69.2%,1998
70,Sebastien Grosjean,,189.8,42.7%,58.2%,72.2%,16.7%,1998
71,Mark Philippoussis,,188.9,35.7%,61.5%,54.2%,37.5%,1998
72,Marat Safin,,186.6,42.2%,60.7%,52.9%,30.8%,1998
73,Martin Damm,,186.1,35.2%,55.9%,45.0%,50.0%,1998
74,Mark Woodforde,,185.7,42.6%,59.8%,38.9%,44.4%,1998
75,Magnus Larsson,,185.4,36.3%,67.0%,25.0%,57.1%,1998
76,Jiri Novak,,184.7,39.6%,57.2%,30.0%,57.9%,1998
77,Francisco Clavet,,184.6,42.7%,59.3%,30.4%,52.2%,1998
78,Davide Sanguinetti,,184.6,42.2%,55.0%,40.0%,47.4%,1998
79,Wayne Black,,183.0,42.4%,55.6%,43.8%,41.2%,1998
80,Andrei Medvedev,,182.7,43.5%,59.6%,34.6%,45.0%,1998
81,Galo Blanco,,181.6,34.2%,58.8%,52.9%,35.7%,1998
82,Carlos Costa,,179.2,42.5%,59.2%,46.2%,31.3%,1998
83,Marc-Kevin Goellner,,176.0,42.9%,61.7%,21.4%,50.0%,1998
84,Sargis Sargsian,,175.7,41.2%,61.2%,40.0%,33.3%,1998
85,Albert Portas,,175.5,34.1%,57.4%,45.5%,38.5%,1998
86,Hicham Arazi,,175.0,42.6%,59.9%,41.2%,31.3%,1998
87,Javier Sanchez,,173.5,36.2%,53.9%,66.7%,16.7%,1998
88,Grant Stafford,,173.2,37.2%,52.7%,50.0%,33.3%,1998
89,Nicolas Lapentti,,168.7,39.7%,54.8%,38.5%,35.7%,1998
90,Julian Alonso,,168.2,38.1%,54.8%,35.3%,40.0%,1998
91,Jeff Tarango,,168.2,41.1%,57.0%,36.8%,33.3%,1998
92,Richard Fromberg,,167.8,38.3%,62.8%,25.0%,41.7%,1998
93,Jordi Burillo,,166.9,35.2%,56.7%,37.5%,37.5%,1998
1,Andre Agassi,,251.5,43.6%,66.2%,66.7%,75.0%,2000
2,David Prinosil,,243.1,39.5%,61.5%,68.8%,73.3%,2000
3,Pete Sampras,,241.5,38.3%,72.9%,76.5%,53.8%,2000
4,Alex Corretja,,240.8,41.5%,63.4%,69.2%,66.7%,2000
5,Nicolas Kiefer,,239.4,43.3%,64.3%,50.0%,81.8%,2000
6,Gianluca Pozzi,,237.0,39.8%,62.1%,66.7%,68.4%,2000
7,Marat Safin,,236.8,39.6%,63.7%,60.8%,72.7%,2000
8,Yevgeny Kafelnikov,,229.6,45.2%,61.6%,51.4%,71.4%,2000
9,Arnaud Clement,,228.6,40.7%,58.8%,70.0%,59.1%,2000
10,Magnus Norman,,227.5,39.3%,63.7%,64.5%,60.0%,2000
11,Michael Chang,,225.2,45.4%,60.8%,56.5%,62.5%,2000
12,Tommy Haas,,225.1,39.6%,61.9%,47.1%,76.5%,2000
13,Gustavo Kuerten,,224.6,38.8%,65.3%,55.3%,65.2%,2000
14,Franco Squillari,,224.6,40.5%,62.4%,46.7%,75.0%,2000
15,Andreas Vinciguerra,,222.1,45.4%,66.7%,50.0%,60.0%,2000
16,Gaston Gaudio,,219.5,44.4%,58.2%,76.9%,40.0%,2000
17,Nicolas Lapentti,,219.0,41.3%,63.4%,39.3%,75.0%,2000
18,Jason Stoltenberg,,218.7,41.5%,56.4%,62.5%,58.3%,2000
19,Lleyton Hewitt,,218.5,45.6%,63.8%,44.4%,64.7%,2000
20,Mariano Puerta,,218.4,44.6%,62.9%,64.7%,46.2%,2000
21,Tim Henman,,218.0,38.2%,69.7%,62.5%,47.6%,2000
22,Sergi Bruguera,,217.5,42.7%,58.1%,50.0%,66.7%,2000
23,Mark Philippoussis,,217.1,35.8%,62.9%,54.8%,63.6%,2000
24,Sjeng Schalken,,217.0,41.1%,60.9%,60.0%,55.0%,2000
25,Davide Sanguinetti,,215.6,40.2%,58.0%,63.6%,53.8%,2000
26,Thomas Enqvist,,215.6,37.7%,65.6%,51.6%,60.7%,2000
27,Juan Carlos Ferrero,,214.2,39.3%,62.0%,43.3%,69.6%,2000
28,Jiri Novak,,213.7,37.1%,57.8%,56.3%,62.5%,2000
29,Andrei Medvedev,,213.4,40.0%,65.1%,54.5%,53.8%,2000
30,Jerome Golmard,,213.2,38.3%,60.3%,56.3%,58.3%,2000
31,Wayne Ferreira,,212.5,40.2%,63.7%,46.7%,61.9%,2000
32,Patrick Rafter,,211.2,37.0%,69.0%,48.1%,57.1%,2000
33,Paul Goldstein,,210.4,40.4%,60.2%,46.2%,63.6%,2000
34,Younes El Aynaoui,,209.5,36.5%,63.8%,61.8%,47.4%,2000
35,Jonas Bjorkman,,208.6,40.0%,61.1%,45.0%,62.5%,2000
36,Fabrice Santoro,,208.4,40.9%,61.4%,45.0%,61.1%,2000
37,Dominik Hrbaty,,208.0,41.1%,62.3%,48.1%,56.5%,2000
38,Fernando Meligeni,,207.7,42.2%,56.1%,53.8%,55.6%,2000
39,Thomas Johansson,,207.7,42.9%,62.4%,60.7%,41.7%,2000
40,Bohdan Ulihrach,,207.5,40.7%,59.7%,57.1%,50.0%,2000
41,Marcelo Rios,,202.6,38.6%,61.3%,56.0%,46.7%,2000
42,Carlos Moya,,201.7,37.4%,65.7%,57.7%,40.9%,2000
43,Albert Portas,,201.4,42.6%,58.1%,54.5%,46.2%,2000
44,Magnus Gustafsson,,200.4,34.9%,65.5%,60.0%,40.0%,2000
45,Roger Federer,,200.3,40.7%,65.2%,50.0%,44.4%,2000
46,Cedric Pioline,,200.1,38.3%,65.1%,50.0%,46.7%,2000
47,Justin Gimelstob,,198.7,34.1%,60.4%,62.5%,41.7%,2000
48,Stefan Koubek,,198.0,39.7%,55.4%,50.0%,52.9%,2000
49,Markus Hantschk,,197.4,41.7%,60.6%,30.8%,64.3%,2000
50,Sebastien Grosjean,,197.3,41.2%,63.0%,58.1%,35.0%,2000
51,Richard Krajicek,,196.7,36.1%,65.0%,40.0%,55.6%,2000
52,Andrei Pavel,,196.3,45.7%,58.9%,41.7%,50.0%,2000
53,Hicham Arazi,,194.9,39.0%,62.6%,33.3%,60.0%,2000
54,Max Mirnyi,,194.8,38.5%,64.1%,47.8%,44.4%,2000
55,Chris Woodruff,,194.3,41.3%,58.2%,38.5%,56.3%,2000
56,Francisco Clavet,,194.2,42.0%,59.6%,52.6%,40.0%,2000
57,Greg Rusedski,,194.2,35.5%,67.2%,61.5%,30.0%,2000
58,Albert Costa,,193.9,42.8%,62.5%,35.3%,53.3%,2000
59,Rainer Schuettler,,193.4,41.8%,57.8%,43.8%,50.0%,2000
60,Marc Rosset,,193.0,35.7%,63.0%,41.7%,52.6%,2000
61,Fernando Vicente,,192.5,41.4%,56.3%,42.9%,51.9%,2000
62,Galo Blanco,,192.4,41.9%,59.5%,45.5%,45.5%,2000
63,Karim Alami,,192.1,36.8%,57.4%,55.0%,42.9%,2000
64,Richard Fromberg,,192.0,40.9%,59.1%,47.6%,44.4%,2000
65,Karol Kucera,,191.7,44.6%,58.6%,38.5%,50.0%,2000
66,Harel Levy,,190.5,44.1%,57.8%,28.6%,60.0%,2000
67,Christophe Rochus,,190.5,35.7%,57.4%,42.9%,54.5%,2000
68,Nicolas Massu,,189.9,44.9%,57.5%,50.0%,37.5%,2000
69,Mikael Tillstrom,,189.5,42.9%,60.2%,36.4%,50.0%,2000
70,Andrew Ilie,,188.8,35.0%,61.6%,60.9%,31.3%,2000
71,Sargis Sargsian,,188.3,37.8%,57.5%,54.5%,38.5%,2000
72,Byron Black,,185.9,39.9%,58.1%,45.0%,42.9%,2000
73,Jan-Michael Gambill,,185.2,36.9%,63.9%,37.0%,47.4%,2000
74,George Bastl,,182.7,34.6%,58.3%,27.3%,62.5%,2000
75,Ivan Ljubicic,,181.6,35.9%,63.9%,38.9%,42.9%,2000
76,Felix Mantilla,,181.6,49.5%,53.5%,28.6%,50.0%,2000
77,Slava Dosedel,,179.0,38.7%,60.3%,60.0%,20.0%,2000
78,Mariano Zabaleta,,176.6,35.0%,59.1%,62.5%,20.0%,2000
79,Goran Ivanisevic,,176.2,44.0%,58.9%,40.0%,33.3%,2000
80,Alberto Martin,,173.5,40.5%,53.5%,33.3%,46.2%,2000
81,Arnaud Di Pasquale,,169.4,39.9%,54.5%,33.3%,41.7%,2000
82,Nicolas Escude,,163.8,36.5%,57.8%,27.8%,41.7%,2000
83,Jeff Tarango,,156.4,36.7%,59.1%,37.5%,23.1%,2000
1,Andreas Vinciguerra,,240.0,40.4%,64.3%,52.0%,83.3%,2001
2,Alberto Martin,,235.4,45.2%,58.9%,83.3%,48.0%,2001
3,Felix Mantilla,,234.3,49.1%,57.3%,52.9%,75.0%,2001
4,Roger Federer,,234.0,38.8%,67.1%,58.5%,69.6%,2001
5,Lleyton Hewitt,,231.2,44.0%,63.6%,54.2%,69.4%,2001
6,Pete Sampras,,231.2,35.5%,64.8%,68.4%,62.5%,2001
7,Yevgeny Kafelnikov,,230.6,42.3%,62.5%,59.1%,66.7%,2001
8,Tommy Robredo,,229.0,43.3%,60.8%,63.0%,61.9%,2001
9,Tommy Haas,,228.0,40.4%,64.3%,44.1%,79.2%,2001
10,Alex Corretja,,228.0,38.6%,62.3%,68.0%,59.1%,2001
11,Stefan Koubek,,227.7,42.3%,62.4%,66.7%,56.3%,2001
12,Patrick Rafter,,226.5,42.3%,63.3%,68.0%,52.9%,2001
13,Michel Kratochvil,,225.2,44.9%,59.6%,61.9%,58.8%,2001
14,Sebastien Grosjean,,224.1,41.4%,62.0%,63.6%,57.1%,2001
15,Fabrice Santoro,,223.2,43.2%,60.0%,60.0%,60.0%,2001
16,Andre Agassi,,223.2,40.5%,61.5%,52.0%,69.2%,2001
17,Hicham Arazi,,222.9,39.2%,59.7%,62.5%,61.5%,2001
18,Magnus Gustafsson,,222.9,44.2%,58.2%,66.7%,53.8%,2001
19,Fernando Vicente,,222.7,43.4%,60.0%,66.7%,52.6%,2001
20,Gustavo Kuerten,,222.4,38.7%,70.1%,52.9%,60.7%,2001
21,Marcelo Rios,,222.1,45.8%,62.5%,60.0%,53.8%,2001
22,Julien Boutter,,221.4,41.8%,69.0%,41.4%,69.2%,2001
23,Galo Blanco,,220.0,37.2%,60.1%,59.1%,63.6%,2001
24,Goran Ivanisevic,,219.6,38.9%,68.8%,51.9%,60.0%,2001
25,Juan Carlos Ferrero,,218.5,39.4%,65.8%,55.6%,57.7%,2001
26,Guillermo Canas,,218.3,40.4%,62.0%,40.9%,75.0%,2001
27,Andy Roddick,,217.6,36.2%,72.0%,65.6%,43.8%,2001
28,Greg Rusedski,,217.2,38.9%,67.0%,56.8%,54.5%,2001
29,Xavier Malisse,,217.0,38.4%,63.7%,52.4%,62.5%,2001
30,Thomas Johansson,,216.5,47.1%,63.2%,53.6%,52.6%,2001
31,Max Mirnyi,,215.0,42.3%,60.3%,56.8%,55.6%,2001
32,Guillermo Coria,,214.6,45.1%,59.0%,41.7%,68.8%,2001
33,Marat Safin,,214.4,39.0%,61.6%,52.3%,61.5%,2001
34,Jiri Novak,,213.5,42.7%,62.2%,47.1%,61.5%,2001
35,Younes El Aynaoui,,213.4,34.9%,63.5%,59.4%,55.6%,2001
